trip_id,stop_id,stop_sequence,arrival_time,departure_time
R2-0-2,R2_9,9,03:18:00,03:18:30
R2-0-2,R2_10,10,03:20:00,03:20:30
R2-0-2,R2_11,11,03:22:00,03:22:30
R2-0-2,R2_12,12,03:24:00,03:24:30
R2-1-2,R2_12,0,04:36:00,04:36:30
R2-1-2,R2_11,1,04:38:00,04:38:30
R2-1-2,R2_10,2,04:40:00,04:40:30
R2-1-2,R2_9,3,04:42:00,04:42:30
R2-1-2,R2_8,4,04:44:00,04:44:30
R2-1-2,R2_7,5,04:46:00,04:46:30
R2-1-2,R2_6,6,04:48:00,04:48:30
R2-1-2,R2_5,7,04:50:00,04:50:30
R2-1-2,R2_4,8,04:52:00,04:52:30
R2-1-2,R2_3,9,04:54:00,04:54:30
R2-1-2,R2_2,10,04:56:00,04:56:30
R2-1-2,R2_1,11,04:58:00,04:58:30
R2-1-2,R2_0,12,05:00:00,05:00:30
R3-0-3,R3_0,0,00:48:00,00:48:30
R3-0-3,R3_1,1,00:50:00,00:50:30
R3-0-3,R3_2,2,00:52:00,00:52:30
R3-0-3,R3_3,3,00:54:00,00:54:30
R3-0-3,R3_4,4,00:56:00,00:56:30
R3-0-3,R3_5,5,00:58:00,00:58:30
R3-0-3,R3_6,6,01:00:00,01:00:30
R3-0-3,R3_7,7,01:02:00,01:02:30
R3-0-3,R3_8,8,01:04:00,01:04:30
R3-0-3,R3_9,9,01:06:00,01:06:30
R3-0-3,R3_10,10,01:08:00,01:08:30
R3-0-3,R3_11,11,01:10:00,01:10:30
R3-0-3,R3_12,12,01:12:00,01:12:30
R3-1-3,R3_12,0,00:54:00,00:54:30
R3-1-3,R3_11,1,00:56:00,00:56:30
R3-1-3,R3_10,2,00:58:00,00:58:30
R3-1-3,R3_9,3,01:00:00,01:00:30
R3-1-3,R3_8,4,01:02:00,01:02:30
R3-1-3,R3_7,5,01:04:00,01:04:30
R3-1-3,R3_6,6,01:06:00,01:06:30
R3-1-3,R3_5,7,01:08:00,01:08:30
R3-1-3,R3_4,8,01:10:00,01:10:30
R3-1-3,R3_3,9,01:12:00,01:12:30
R3-1-3,R3_2,10,01:14:00,01:14:30
R3-1-3,R3_1,11,01:16:00,01:16:30
R3-1-3,R3_0,12,01:18:00,01:18:30
R4-0-4,R4_0,0,05:42:00,05:42:30
R4-0-4,R4_1,1,05:44:00,05:44:30
R4-0-4,R4_2,2,05:46:00,05:46:30
R4-0-4,R4_3,3,05:48:00,05:48:30
R4-0-4,R4_4,4,05:50:00,05:50:30
R4-0-4,R4_5,5,05:52:00,05:52:30
R4-0-4,R4_6,6,05:54:00,05:54:30
R4-0-4,R4_7,7,05:56:00,05:56:30
R4-0-4,R4_8,8,05:58:00,05:58:30
R4-0-4,R4_9,9,06:00:00,06:00:30
R4-0-4,R4_10,10,06:02:00,06:02:30
R4-0-4,R4_11,11,06:04:00,06:04:30
R4-0-4,R4_12,12,06:06:00,06:06:30
R4-0-4,R4_13,13,06:08:00,06:08:30
R4-0-4,R4_14,14,06:10:00,06:10:30
R4-0-4,R4_15,15,06:12:00,06:12:30
R4-0-4,R4_16,16,06:14:00,06:14:30
R4-0-4,R4_17,17,06:16:00,06:16:30
R4-1-4,R4_17,0,03:54:00,03:54:30
R4-1-4,R4_16,1,03:56:00,03:56:30
R4-1-4,R4_15,2,03:58:00,03:58:30
R4-1-4,R4_14,3,04:00:00,04:00:30
R4-1-4,R4_13,4,04:02:00,04:02:30
R4-1-4,R4_12,5,04:04:00,04:04:30
R4-1-4,R4_11,6,04:06:00,04:06:30
R4-1-4,R4_10,7,04:08:00,04:08:30
R4-1-4,R4_9,8,04:10:00,04:10:30
R4-1-4,R4_8,9,04:12:00,04:12:30
R4-1-4,R4_7,10,04:14:00,04:14:30
R4-1-4,R4_6,11,04:16:00,04:16:30
R4-1-4,R4_5,12,04:18:00,04:18:30
R4-1-4,R4_4,13,04:20:00,04:20:30
R4-1-4,R4_3,14,04:22:00,04:22:30
R4-1-4,R4_2,15,04:24:00,04:24:30
R4-1-4,R4_1,16,04:26:00,04:26:30
R4-1-4,R4_0,17,04:28:00,04:28:30
R5-0-5,R5_0,0,01:06:00,01:06:30
R5-0-5,R5_1,1,01:08:00,01:08:30
R5-0-5,R5_2,2,01:10:00,01:10:30
R5-0-5,R5_3,3,01:12:00,01:12:30
R5-0-5,R5_4,4,01:14:00,01:14:30
R5-0-5,R5_5,5,01:16:00,01:16:30
R5-0-5,R5_6,6,01:18:00,01:18:30
R5-0-5,R5_7,7,01:20:00,01:20:30
R5-0-5,R5_8,8,01:22:00,01:22:30
R5-0-5,R5_9,9,01:24:00,01:24:30
R5-0-5,R5_10,10,01:26:00,01:26:30
R5-0-5,R5_11,11,01:28:00,01:28:30
R5-0-5,R5_12,12,01:30:00,01:30:30
R5-0-5,R5_13,13,01:32:00,01:32:30
R5-0-5,R5_14,14,01:34:00,01:34:30
R5-1-5,R5_14,0,02:48:00,02:48:30
R5-1-5,R5_13,1,02:50:00,02:50:30
R5-1-5,R5_12,2,02:52:00,02:52:30
R5-1-5,R5_11,3,02:54:00,02:54:30
R5-1-5,R5_10,4,02:56:00,02:56:30
R5-1-5,R5_9,5,02:58:00,02:58:30
R5-1-5,R5_8,6,03:00:00,03:00:30
R5-1-5,R5_7,7,03:02:00,03:02:30
R5-1-5,R5_6,8,03:04:00,03:04:30
R5-1-5,R5_5,9,03:06:00,03:06:30
R5-1-5,R5_4,10,03:08:00,03:08:30
R5-1-5,R5_3,11,03:10:00,03:10:30
R5-1-5,R5_2,12,03:12:00,03:12:30
R5-1-5,R5_1,13,03:14:00,03:14:30
R5-1-5,R5_0,14,03:16:00,03:16:30
R6-0-6,R6_0,0,04:12:00,04:12:30
R6-0-6,R6_1,1,04:14:00,04:14:30
R6-0-6,R6_2,2,04:16:00,04:16:30
R6-0-6,R6_3,3,04:18:00,04:18:30
R6-0-6,R6_4,4,04:20:00,04:20:30
R6-0-6,R6_5,5,04:22:00,04:22:30
R6-0-6,R6_6,6,04:24:00,04:24:30
R6-0-6,R6_7,7,04:26:00,04:26:30
R6-0-6,R6_8,8,04:28:00,04:28:30
R6-0-6,R6_9,9,04:30:00,04:30:30
R6-0-6,R6_10,10,04:32:00,04:32:30
R6-0-6,R6_11,11,04:34:00,04:34:30
R6-0-6,R6_12,12,04:36:00,04:36:30
R6-0-6,R6_13,13,04:38:00,04:38:30
R6-1-6,R6_13,0,00:48:00,00:48:30
R6-1-6,R6_12,1,00:50:00,00:50:30
R6-1-6,R6_11,2,00:52:00,00:52:30
R6-1-6,R6_10,3,00:54:00,00:54:30
R6-1-6,R6_9,4,00:56:00,00:56:30
R6-1-6,R6_8,5,00:58:00,00:58:30
R6-1-6,R6_7,6,01:00:00,01:00:30
R6-1-6,R6_6,7,01:02:00,01:02:30
R6-1-6,R6_5,8,01:04:00,01:04:30
R6-1-6,R6_4,9,01:06:00,01:06:30
R6-1-6,R6_3,10,01:08:00,01:08:30
R6-1-6,R6_2,11,01:10:00,01:10:30
R6-1-6,R6_1,12,01:12:00,01:12:30
R6-1-6,R6_0,13,01:14:00,01:14:30
R7-0-7,R7_0,0,03:42:00,03:42:30
R7-0-7,R7_1,1,03:44:00,03:44:30
R7-0-7,R7_2,2,03:46:00,03:46:30
R7-0-7,R7_3,3,03:48:00,03:48:30
R7-0-7,R7_4,4,03:50:00,03:50:30
R7-0-7,R7_5,5,03:52:00,03:52:30
R7-0-7,R7_6,6,03:54:00,03:54:30
R7-0-7,R7_7,7,03:56:00,03:56:30
R7-0-7,R7_8,8,03:58:00,03:58:30
R7-0-7,R7_9,9,04:00:00,04:00:30
R7-0-7,R7_10,10,04:02:00,04:02:30
R7-0-7,R7_11,11,04:04:00,04:04:30
R7-0-7,R7_12,12,04:06:00,04:06:30
R7-0-7,R7_13,13,04:08:00,04:08:30
R7-1-7,R7_13,0,01:48:00,01:48:30
R7-1-7,R7_12,1,01:50:00,01:50:30
R7-1-7,R7_11,2,01:52:00,01:52:30
R7-1-7,R7_10,3,01:54:00,01:54:30
R7-1-7,R7_9,4,01:56:00,01:56:30
R7-1-7,R7_8,5,01:58:00,01:58:30
R7-1-7,R7_7,6,02:00:00,02:00:30
R7-1-7,R7_6,7,02:02:00,02:02:30
R7-1-7,R7_5,8,02:04:00,02:04:30
R7-1-7,R7_4,9,02:06:00,02:06:30
R7-1-7,R7_3,10,02:08:00,02:08:30
R7-1-7,R7_2,11,02:10:00,02:10:30
R7-1-7,R7_1,12,02:12:00,02:12:30
R7-1-7,R7_0,13,02:14:00,02:14:30
R8-0-8,R8_0,0,00:42:00,00:42:30
R8-0-8,R8_1,1,00:44:00,00:44:30
R8-0-8,R8_2,2,00:46:00,00:46:30
R8-0-8,R8_3,3,00:48:00,00:48:30
R8-0-8,R8_4,4,00:50:00,00:50:30
R8-0-8,R8_5,5,00:52:00,00:52:30
R8-0-8,R8_6,6,00:54:00,00:54:30
R8-0-8,R8_7,7,00:56:00,00:56:30
R8-0-8,R8_8,8,00:58:00,00:58:30
R8-0-8,R8_9,9,01:00:00,01:00:30
R8-0-8,R8_10,10,01:02:00,01:02:30
R8-0-8,R8_11,11,01:04:00,01:04:30
R8-0-8,R8_12,12,01:06:00,01:06:30
R8-0-8,R8_13,13,01:08:00,01:08:30
R8-1-8,R8_13,0,01:00:00,01:00:30
R8-1-8,R8_12,1,01:02:00,01:02:30
R8-1-8,R8_11,2,01:04:00,01:04:30
R8-1-8,R8_10,3,01:06:00,01:06:30
R8-1-8,R8_9,4,01:08:00,01:08:30
R8-1-8,R8_8,5,01:10:00,01:10:30
R8-1-8,R8_7,6,01:12:00,01:12:30
R8-1-8,R8_6,7,01:14:00,01:14:30
R8-1-8,R8_5,8,01:16:00,01:16:30
R8-1-8,R8_4,9,01:18:00,01:18:30
R8-1-8,R8_3,10,01:20:00,01:20:30
R8-1-8,R8_2,11,01:22:00,01:22:30
R8-1-8,R8_1,12,01:24:00,01:24:30
R8-1-8,R8_0,13,01:26:00,01:26:30
R9-0-9,R9_0,0,03:12:00,03:12:30
R9-0-9,R9_1,1,03:14:00,03:14:30
R9-0-9,R9_2,2,03:16:00,03:16:30
R9-0-9,R9_3,3,03:18:00,03:18:30
R9-0-9,R9_4,4,03:20:00,03:20:30
R9-0-9,R9_5,5,03:22:00,03:22:30
R9-0-9,R9_6,6,03:24:00,03:24:30
R9-0-9,R9_7,7,03:26:00,03:26:30
R9-0-9,R9_8,8,03:28:00,03:28:30
R9-0-9,R9_9,9,03:30:00,03:30:30
R9-0-9,R9_10,10,03:32:00,03:32:30
R9-0-9,R9_11,11,03:34:00,03:34:30
R9-0-9,R9_12,12,03:36:00,03:36:30
R9-1-9,R9_12,0,03:06:00,03:06:30
R9-1-9,R9_11,1,03:08:00,03:08:30
R9-1-9,R9_10,2,03:10:00,03:10:30
R9-1-9,R9_9,3,03:12:00,03:12:30
R9-1-9,R9_8,4,03:14:00,03:14:30
R9-1-9,R9_7,5,03:16:00,03:16:30
R9-1-9,R9_6,6,03:18:00,03:18:30
R9-1-9,R9_5,7,03:20:00,03:20:30
R9-1-9,R9_4,8,03:22:00,03:22:30
R9-1-9,R9_3,9,03:24:00,03:24:30
R9-1-9,R9_2,10,03:26:00,03:26:30
R9-1-9,R9_1,11,03:28:00,03:28:30
R9-1-9,R9_0,12,03:30:00,03:30:30
B1-0-10,B1_0,0,00:54:00,00:54:30
B1-0-10,B1_1,1,00:56:00,00:56:30
B1-0-10,B1_2,2,00:58:00,00:58:30
B1-0-10,B1_3,3,01:00:00,01:00:30
B1-0-10,B1_4,4,01:02:00,01:02:30
B1-0-10,B1_5,5,01:04:00,01:04:30
B1-0-10,B1_6,6,01:06:00,01:06:30
B1-0-10,B1_7,7,01:08:00,01:08:30
B1-0-10,B1_8,8,01:10:00,01:10:30
B1-1-10,B1_8,0,02:00:00,02:00:30
B1-1-10,B1_7,1,02:02:00,02:02:30
B1-1-10,B1_6,2,02:04:00,02:04:30
B1-1-10,B1_5,3,02:06:00,02:06:30
B1-1-10,B1_4,4,02:08:00,02:08:30
B1-1-10,B1_3,5,02:10:00,02:10:30
B1-1-10,B1_2,6,02:12:00,02:12:30
B1-1-10,B1_1,7,02:14:00,02:14:30
B1-1-10,B1_0,8,02:16:00,02:16:30
B2-0-11,B2_0,0,01:00:00,01:00:30
B2-0-11,B2_1,1,01:02:00,01:02:30
B2-0-11,B2_2,2,01:04:00,01:04:30
B2-0-11,B2_3,3,01:06:00,01:06:30
B2-0-11,B2_4,4,01:08:00,01:08:30
B2-0-11,B2_5,5,01:10:00,01:10:30
B2-0-11,B2_6,6,01:12:00,01:12:30
B2-0-11,B2_7,7,01:14:00,01:14:30
B2-0-11,B2_8,8,01:16:00,01:16:30
B2-1-11,B2_8,0,04:00:00,04:00:30
B2-1-11,B2_7,1,04:02:00,04:02:30
B2-1-11,B2_6,2,04:04:00,04:04:30
B2-1-11,B2_5,3,04:06:00,04:06:30
B2-1-11,B2_4,4,04:08:00,04:08:30
B2-1-11,B2_3,5,04:10:00,04:10:30
B2-1-11,B2_2,6,04:12:00,04:12:30
B2-1-11,B2_1,7,04:14:00,04:14:30
B2-1-11,B2_0,8,04:16:00,04:16:30
