stop_id,stop_name,stop_lat,stop_lon,stop_zone
R5_0,R5 Stop 0,52.52,13.405,Z1
R5_1,R5 Stop 1,52.524505,13.412992,Z1
R5_2,R5 Stop 2,52.529009,13.420984,Z1
R5_3,R5 Stop 3,52.533514,13.428976,Z1
R5_4,R5 Stop 4,52.538018,13.436968,Z2
R5_5,R5 Stop 5,52.542523,13.44496,Z2
R5_6,R5 Stop 6,52.547027,13.452952,Z2
R5_7,R5 Stop 7,52.551532,13.460944,Z2
R5_8,R5 Stop 8,52.556036,13.468936,Z3
R5_9,R5 Stop 9,52.560541,13.476928,Z3
R5_10,R5 Stop 10,52.565045,13.48492,Z3
R5_11,R5 Stop 11,52.56955,13.492912,Z3
R5_12,R5 Stop 12,52.574054,13.500904,Z4
R5_13,R5 Stop 13,52.578559,13.508896,Z4
R5_14,R5 Stop 14,52.583063,13.516888,Z4
R6_0,R6 Stop 0,52.52,13.405,Z1
R6_1,R6 Stop 1,52.515149,13.396393,Z1
R6_2,R6 Stop 2,52.510298,13.387786,Z1
R6_3,R6 Stop 3,52.505447,13.37918,Z1
R6_4,R6 Stop 4,52.500596,13.370573,Z2
R6_5,R6 Stop 5,52.495745,13.361966,Z2
R6_6,R6 Stop 6,52.490894,13.353359,Z2
R6_7,R6 Stop 7,52.486043,13.344753,Z2
R6_8,R6 Stop 8,52.481192,13.336146,Z3
R6_9,R6 Stop 9,52.476341,13.327539,Z3
R6_10,R6 Stop 10,52.47149,13.318932,Z3
R6_11,R6 Stop 11,52.466639,13.310325,Z3
R6_12,R6 Stop 12,52.461788,13.301719,Z4
R6_13,R6 Stop 13,52.456937,13.293112,Z4
R7_0,R7 Stop 0,52.52,13.405,Z1
R7_1,R7 Stop 1,52.515149,13.413607,Z1
R7_2,R7 Stop 2,52.510298,13.422214,Z1
R7_3,R7 Stop 3,52.505447,13.43082,Z1
R7_4,R7 Stop 4,52.500596,13.439427,Z2
R7_5,R7 Stop 5,52.495745,13.448034,Z2
R7_6,R7 Stop 6,52.490894,13.456641,Z2
R7_7,R7 Stop 7,52.486043,13.465247,Z2
R7_8,R7 Stop 8,52.481192,13.473854,Z3
R7_9,R7 Stop 9,52.476341,13.482461,Z3
R7_10,R7 Stop 10,52.47149,13.491068,Z3
R7_11,R7 Stop 11,52.466639,13.499675,Z3
R7_12,R7 Stop 12,52.461788,13.508281,Z4
R7_13,R7 Stop 13,52.456937,13.516888,Z4
R8_0,R8 Stop 0,52.52,13.405,Z1
R8_1,R8 Stop 1,52.524851,13.396393,Z1
R8_2,R8 Stop 2,52.529702,13.387786,Z1
R8_3,R8 Stop 3,52.534553,13.37918,Z1
R8_4,R8 Stop 4,52.539404,13.370573,Z2
R8_5,R8 Stop 5,52.544255,13.361966,Z2
R8_6,R8 Stop 6,52.549106,13.353359,Z2
R8_7,R8 Stop 7,52.553957,13.344753,Z2
R8_8,R8 Stop 8,52.558808,13.336146,Z3
R8_9,R8 Stop 9,52.563659,13.327539,Z3
R8_10,R8 Stop 10,52.56851,13.318932,Z3
R8_11,R8 Stop 11,52.573361,13.310325,Z3
R8_12,R8 Stop 12,52.578212,13.301719,Z4
R8_13,R8 Stop 13,52.583063,13.293112,Z4
R9_0,R9 Stop 0,52.52,13.488916083916083,Z1
R9_1,R9 Stop 1,52.54702702702703,13.477673460457435,Z1
R9_2,R9 Stop 2,52.566812183988354,13.446958041958041,Z1
R9_3,R9 Stop 3,52.57405405405406,13.405,Z1
R9_4,R9 Stop 4,52.566812183988354,13.363041958041958,Z2
R9_5,R9 Stop 5,52.54702702702703,13.332326539542564,Z2
R9_6,R9 Stop 6,52.52,13.321083916083916,Z2
R9_7,R9 Stop 7,52.49297297297298,13.332326539542564,Z2
R9_8,R9 Stop 8,52.47318781601165,13.363041958041958,Z3
R9_9,R9 Stop 9,52.46594594594595,13.405,Z3
R9_10,R9 Stop 10,52.47318781601165,13.446958041958041,Z3
R9_11,R9 Stop 11,52.49297297297298,13.477673460457435,Z3
R9_12,R9 Stop 12,52.52,13.488916083916083,Z4
B1_0,B1 Stop 0,52.556036,13.530874,Z1
B1_1,B1 Stop 1,52.559414,13.536119,Z1
B1_2,B1 Stop 2,52.562793,13.541364,Z1
B1_3,B1 Stop 3,52.566171,13.546608,Z1
B1_4,B1 Stop 4,52.56955,13.551853,Z2
B1_5,B1 Stop 5,52.572928,13.557098,Z2
B1_6,B1 Stop 6,52.576306,13.562343,Z2
B1_7,B1 Stop 7,52.579685,13.567587,Z2
B1_8,B1 Stop 8,52.583063,13.572832,Z3
B2_0,B2 Stop 0,52.465946,13.26514,Z1
B2_1,B2 Stop 1,52.469324,13.270385,Z1
B2_2,B2 Stop 2,52.472703,13.275629,Z1
B2_3,B2 Stop 3,52.476081,13.280874,Z1
B2_4,B2 Stop 4,52.479459,13.286119,Z2
B2_5,B2 Stop 5,52.482838,13.291364,Z2
B2_6,B2 Stop 6,52.486216,13.296608,Z2
B2_7,B2 Stop 7,52.489595,13.301853,Z2
B2_8,B2 Stop 8,52.492973,13.307098,Z3
